Pclass,Sex,Age,SibSp,Parch,Fare,Group_Size,Fare_per_person,Embarked_C,Embarked_Q,Embarked_S,Title_Master,Title_Miss,Title_Mr,Title_Mrs,Title_Other
3,0,-0.08113533197997112,-0.46508427634374117,-0.46618317148792077,0.5138115038918489,3.82691798637558,-0.4486542792575084,False,False,True,0.0,0.0,1.0,0.0,0.0
2,0,-0.08113533197997112,-0.46508427634374117,-0.46618317148792077,-0.6625632269369692,-0.5761505936934956,-0.8199449842843488,False,False,True,0.0,0.0,1.0,0.0,0.0
1,0,-0.08113533197997112,-0.46508427634374117,-0.46618317148792077,3.9553985809041556,-0.5761505936934956,9.382793780332143,False,False,True,0.0,0.0,1.0,0.0,0.0
3,1,-0.8878271899997933,-0.46508427634374117,0.7277823612437324,-0.4678743521312413,-0.5761505936934956,-0.38980722813244545,False,False,True,0.0,0.0,0.0,1.0,0.0
2,1,0.11093415802474844,0.4783345406270387,0.7277823612437324,-0.11597681371233177,0.8915389329961962,-0.417409650987113,False,False,True,0.0,0.0,0.0,1.0,0.0
3,0,-0.6573438019941298,-0.46508427634374117,-0.46618317148792077,-0.48696219079802316,-0.5761505936934956,-0.43197912985056847,False,False,True,0.0,0.0,1.0,0.0,0.0
3,0,-0.2732048219846907,-0.46508427634374117,-0.46618317148792077,0.5138115038918489,3.82691798637558,-0.4486542792575084,False,False,True,0.0,0.0,1.0,0.0,0.0
1,0,-0.08113533197997112,-0.46508427634374117,-0.46618317148792077,4.075039579498675,1.6253836963410422,1.7968222073857532,True,False,False,0.0,0.0,1.0,0.0,0.0
3,0,-0.08113533197997112,-0.46508427634374117,-0.46618317148792077,-0.5011900954135049,-0.5761505936934956,-0.46341368907822567,False,True,False,0.0,0.0,1.0,0.0,0.0
3,1,0.11093415802474844,0.4783345406270387,-0.46618317148792077,-0.2877611150115036,-0.5761505936934956,0.008127701355679074,False,False,True,0.0,0.0,0.0,1.0,0.0
1,0,2.0316290580719443,-0.46508427634374117,-0.46618317148792077,0.07662982713825477,-0.5761505936934956,0.8131983679501507,True,False,False,0.0,0.0,0.0,0.0,1.0
3,1,-0.6573438019941298,0.4783345406270387,-0.46618317148792077,-0.45798374084431925,-0.5761505936934956,-0.3679553100391669,False,False,True,0.0,1.0,0.0,0.0,0.0
3,0,-0.08113533197997112,7.082266259422497,1.9217478939753856,0.7856304888639273,3.82691798637558,-0.3628620058219366,False,False,True,0.0,0.0,1.0,0.0,0.0
1,0,2.0316290580719443,-0.46508427634374117,-0.46618317148792077,-0.10973011184690733,-0.5761505936934956,0.40146222703469236,False,False,True,0.0,0.0,1.0,0.0,0.0
3,0,-0.6573438019941298,-0.46508427634374117,-0.46618317148792077,-0.5001489784359341,-0.5761505936934956,-0.46111348717367,False,False,True,0.0,0.0,1.0,0.0,0.0
1,1,0.2645897500285241,0.4783345406270387,-0.46618317148792077,1.2114473326903592,0.1576941696513503,1.2502367298157209,False,True,False,0.0,1.0,0.0,0.0,0.0
3,0,-0.6573438019941298,-0.46508427634374117,-0.46618317148792077,-0.5015378284840135,-0.5761505936934956,-0.4641819565143473,False,True,False,0.0,0.0,1.0,0.0,0.0
3,0,-0.08113533197997112,-0.46508427634374117,-0.46618317148792077,-0.5116012651892122,-0.5761505936934956,-0.486415708123782,False,False,True,0.0,0.0,1.0,0.0,0.0
3,0,1.0328677100474024,-0.46508427634374117,-0.46618317148792077,-0.5282591368303441,-0.5761505936934956,-0.5232189385966721,False,False,True,0.0,0.0,1.0,0.0,0.0
3,1,-0.08113533197997112,2.3651721745685985,0.7277823612437324,-0.13228695228295498,1.6253836963410422,-0.5270522250706141,False,False,True,0.0,1.0,0.0,0.0,0.0
3,0,0.03410636202286062,0.4783345406270387,-0.46618317148792077,-0.32732356015919156,0.1576941696513503,-0.44961247765089185,False,False,True,0.0,0.0,1.0,0.0,0.0
1,1,0.18776195402663626,-0.46508427634374117,-0.46618317148792077,0.9260084554177004,-0.5761505936934956,2.689781288551391,True,False,False,0.0,1.0,0.0,0.0,0.0
1,1,-0.08113533197997112,-0.46508427634374117,-0.46618317148792077,0.9865660655350799,-0.5761505936934956,2.823574832531774,True,False,False,0.0,0.0,0.0,1.0,0.0
2,0,-0.8109993939979054,-0.46508427634374117,-0.46618317148792077,-0.44392866164711425,-0.5761505936934956,-0.33690258432766584,False,False,True,0.0,0.0,1.0,0.0,0.0
3,0,-0.42686041398846636,-0.46508427634374117,-0.46618317148792077,-0.49815419830690855,-0.5761505936934956,-0.4567063003245414,False,False,True,0.0,0.0,1.0,0.0,0.0
2,1,1.186523302051178,-0.46508427634374117,-0.46618317148792077,-0.38146164299287,-0.5761505936934956,-0.1988904700543279,False,False,True,0.0,0.0,0.0,1.0,0.0
3,0,-0.5036882099903541,-0.46508427634374117,-0.46618317148792077,-0.49815419830690855,-0.5761505936934956,-0.4567063003245414,False,False,True,0.0,0.0,1.0,0.0,0.0
3,0,0.9560399140455145,-0.46508427634374117,0.7277823612437324,-0.48756812087896934,-0.5761505936934956,-0.4333178473590198,False,False,True,0.0,0.0,1.0,0.0,0.0
1,1,0.7255565260398511,0.4783345406270387,0.7277823612437324,1.0689871321814448,-0.5761505936934956,3.0056726165078245,True,False,False,0.0,1.0,0.0,0.0,0.0
3,0,-1.041482782003569,-0.46508427634374117,-0.46618317148792077,-0.4949433935480804,-0.5761505936934956,-0.44961247765089185,False,False,True,0.0,0.0,1.0,0.0,0.0
3,0,-0.08113533197997112,-0.46508427634374117,-0.46618317148792077,-0.49815419830690855,-0.5761505936934956,-0.4567063003245414,False,False,True,0.0,0.0,1.0,0.0,0.0
2,0,2.799907018090822,-0.46508427634374117,-0.46618317148792077,-0.44392866164711425,-0.5761505936934956,-0.33690258432766584,False,False,True,0.0,0.0,1.0,0.0,0.0
1,0,-0.11954922998091504,-0.46508427634374117,-0.46618317148792077,-0.10973011184690733,-0.5761505936934956,0.40146222703469236,False,False,True,0.0,0.0,1.0,0.0,0.0
